,Название,Тип библиотеки,Электронный каталог
0,Библиотека им. Н. А. Некрасова,универсальная,opac.nekrasovka.ru/vmk/
1,"Пункт книговыдачи Библиотеки им. Н. А. Некрасова в ТРЦ ""Океания""",универсальная,opac.nekrasovka.ru/vmk/
2,Пункт книговыдачи Библиотеки им. Н. А. Некрасова в Марьиной Роще,универсальная,opac.nekrasovka.ru/vmk/
3,Центральная детская библиотека №78 им. И.А. Крылова,детская,62.117.87.150/MarcWeb/
4,Центральная детская библиотека №66,детская,opac.nekrasovka.ru/opacg2/?bibl
5,Центральная детская библиотека №46 имени И.З. Сурикова,взрослая,sao.biblio.informsystema.ru/Marc.html?locale=ru
6,Центральная детская библиотека №251,детская,
7,Центральная детская библиотека №226,детская,
8,Центральная детская библиотека №152,детская,213.171.40.190/MarcWeb/Work.asp?ValueDB=41&DisplayDB=Объединенный каталог книг ЮАО
9,Центральная детская библиотека №14,детская,opac.nekrasovka.ru/opacg2/?bibl
10,Центральная детская библиотека №104 (ЗАКРЫТА НА РЕМОНТ),детская,
11,Центральная городская деловая библиотека,взрослая,catalog.mgdb.ru:49001/
12,Центральная библиотека № 70 имени М.А.Шолохова,универсальная,62.117.87.150/MarcWeb/
13,"Центральная библиотека №249 (текущий ремонт в рамках программы ""Московские библиоцентры"")",взрослая,
14,Центральная библиотека №224 имени Ф.В.Гладкова,взрослая,
15,Центральная библиотека №21,Детская,sao.biblio.informsystema.ru/Marc.html?locale=ru
16,Центральная библиотека №21 (ЗАКРЫТА НА РЕМОНТ),взрослая,sao.biblio.informsystema.ru/Marc.html?locale=ru
17,Центральная библиотека №197 имени А.А. Ахматовой,детская,catalog.bibliozao.ru/vufind/
18,Центральная библиотека №190,универсальная,opac.nekrasovka.ru/opacg2/?bibl
19,Центральная библиотека №15 имени В.О.Ключевского,взрослая,opac.nekrasovka.ru/opacg2/?bibl
20,Центральная библиотека №136 имени Л.Н. Толстого,взрослая,213.171.40.190/MarcWeb/Work.asp?ValueDB=41&DisplayDB=Объединенный каталог книг ЮАО
21,Центральная библиотека №106,взрослая,
22,Центральная городская молодежная библиотека им. М.А. Светлова,молодежная,catalog.svetlovka.ru/jirbis2/
23,Центральная городская детская библиотека им. А.П.Гайдара,детская,"gaidarovka.ru/component/option,com_irbis/Itemid,1572/"
24,Нотно-музыкальная библиотека №17 имени П.И.Юргенсона,взрослая,opac.nekrasovka.ru/opacg2/?bibl
25,Дом Н.В.Гоголя — мемориальный музей и научная библиотека,универсальная,213.171.53.210:888/MegaPro/Web
26,"Библиотека истории русской философии и культуры ""Дом А.Ф. Лосева"". Центр чтения и творческого развития",универсальная,irbis.losev-library.ru
27,"Библиотека истории русской философии и культуры ""Дом А.Ф. Лосева""",взрослая,irbis.losev-library.ru
28,Библиотека №97,взрослая,62.117.87.150/MarcWeb/
29,Детская библиотека №91 имени Э.Л.Войнич,детская,62.117.87.150/MarcWeb/
30,Детская библиотека №71,детская,62.117.87.150/MarcWeb/
31,Детская библиотека №45,детская,sao.biblio.informsystema.ru/Marc.html?locale=ru
32,Детская библиотека №43 - Культурный центр В.Ю. Драгунского,универсальная,sao.biblio.informsystema.ru/Marc.html?locale=ru
33,Детская библиотека №40,детская,sao.biblio.informsystema.ru/Marc.html?locale=ru
34,Детская библиотека №35,детская,sao.biblio.informsystema.ru/Marc.html?locale=ru
35,Детская библиотека №31,детская,sao.biblio.informsystema.ru/Marc.html?locale=ru
36,Детская библиотека №244,детская,
37,Детская библиотека №242,детская,
38,Детская библиотека №238,детская,
39,Детская библиотека №236 (ЗАКРЫТА НА РЕМОНТ),детская,
40,Детская библиотека №228,детская,
41,Детская библиотека №22 имени Л.А.Кассиля,взрослая,sao.biblio.informsystema.ru/Marc.html?locale=ru
42,Детская библиотека №219,детская,catalog.bibliozao.ru/vufind/
43,"Детская библиотека №211 ""Пионер""",детская,catalog.bibliozao.ru/vufind/
44,Детская библиотека №208 - Центр культурного наследия В.И. Даля,детская,catalog.bibliozao.ru/vufind/
45,Детская библиотека №207 имени В.В. Бианки (ВРЕМЕННО ЗАКРЫТА НА РЕМОНТ),детская,catalog.bibliozao.ru/vufind/
46,Детская библиотека №206 имени И.Е. Забелина,детская,catalog.bibliozao.ru/vufind/
47,Детская библиотека №203,детская,catalog.bibliozao.ru/vufind/
48,Детская библиотека №178 - Культурный центр А.Л. Барто,детская,opac.nekrasovka.ru/opacg2/?bibl
49,Детская библиотека №177,детская,opac.nekrasovka.ru/opacg2/?bibl
50,Детская библиотека №155,детская,213.171.40.190/MarcWeb/Work.asp?ValueDB=41&DisplayDB=Объединенный каталог книг ЮАО
51,Детская библиотека №153,детская,213.171.40.190/MarcWeb/Work.asp?ValueDB=41&DisplayDB=Объединенный каталог книг ЮАО
52,Детская библиотека №138,детская,213.171.40.190/MarcWeb/Work.asp?ValueDB=41&DisplayDB=Объединенный каталог книг ЮАО
53,Детская библиотека №133 (ЗАКРЫТА НА РЕМОНТ),детская,
54,Детская библиотека №128 - Культурный центр М.А. Шолохова (ЗАКРЫТА НА РЕМОНТ),детская,
55,Детская библиотека №114,детская,
56,Детская библиотека №112 (ЗАКРЫТА НА РЕМОНТ),детская,
57,Детская библиотека №103,детская,62.117.87.150/MarcWeb/
58,Библиотека №98,универсальная,62.117.87.150/MarcWeb/
59,Детская библиотека №99,детская,62.117.87.150/MarcWeb/
60,Библиотека № 96,взрослая,62.117.87.150/MarcWeb/
61,Библиотека №95,универсальная,62.117.87.150/MarcWeb/
62,Библиотека №94,универсальная,62.117.87.150/MarcWeb/
63,Библиотека №93 имени А.А.Блока,универсальная,62.117.87.150/MarcWeb/
64,Библиотека №92 - Культурный центр К.И. Чуковского,детская,
65,Библиотека №90 имени А.С. Неверова,взрослая,62.117.87.150/MarcWeb/
66,Библиотека №9 имени Н.В.Гоголя,взрослая,opac.nekrasovka.ru/opacg2/?bibl
67,Библиотека №89,универсальная,62.117.87.150/MarcWeb/
68,Библиотека №88,универсальная,62.117.87.150/MarcWeb/
69,Библиотека №87,Взрослая,62.117.87.150/MarcWeb/
70,Библиотека №86,взрослая,62.117.87.150/MarcWeb/
71,Библиотека №85,детская,62.117.87.150/MarcWeb/
72,Библиотека №84,взрослая,62.117.87.150/MarcWeb/
73,Библиотека №83,детская,62.117.87.150/MarcWeb/
74,Библиотека №82,взрослая,
75,Библиотека №81,универсальная,62.117.87.150/MarcWeb/
76,Библиотека №80,универсальная,62.117.87.150/MarcWeb/
77,Библиотека №8 имени А.П.Чехова,взрослая,opac.nekrasovka.ru/opacg2/?bibl
78,Библиотека №79 имени Б.А. Лавренева,взрослая,62.117.87.150/MarcWeb/
79,Библиотека №77,универсальная,62.117.87.150/MarcWeb/
80,Библиотека №76 имени М.Ю.Лермонтова,универсальная,62.117.87.150/MarcWeb/
81,Библиотека №75 имени А.С. Серафимовича,детская,62.117.87.150/MarcWeb/
82,Библиотека №74,детская,62.117.87.150/MarcWeb/
83,Библиотека №73 - Культурный центр академика Д.С. Лихачева,взрослая,62.117.87.150/MarcWeb/
84,Библиотека №72,универсальная,
85,Библиотека №7 – Культурный центр имениА.деСент-Экзюпери,взрослая,opac.nekrasovka.ru/opacg2/?bibl
86,Библиотека №49,детская,bibliosvao.ru/elektronnyj-katalog/
87,Библиотека №68,детская,
88,Библиотека №67,универсальная,opac.nekrasovka.ru/opacg/
89,Библиотека №65 имени М.М. Пришвина,детская,opac.nekrasovka.ru/opacg2/?bibl
90,Библиотека №64,универсальная,
91,Библиотека №63 имени И.С. Соколова-Микитова,универсальная,opac.nekrasovka.ru/opacg2/?bibl
92,Библиотека №62 имени Пабло Неруды (ОГРАНИЧЕНИЕ РАБОТЫ В СВЯЗИ С РЕМОНТОМ: ТОЛЬКО ВОЗВРАТ ИЗДАНИЙ),взрослая,opac.nekrasovka.ru/opacg2/?bibl
93,Библиотека №61,взрослая,opac.nekrasovka.ru/opacg2/?bibl
94,Библиотека №60 имени О.Э.Мандельштама,взрослая,
95,Библиотека №59,взрослая,bibliosvao.ru/elektronnyj-katalog/
96,Библиотека №58,универсальная,opac.nekrasovka.ru/opacg2
97,Библиотека №57 (ОГРАНИЧЕНИЕ РАБОТЫ В СВЯЗИ С РЕМОНТОМ: ТОЛЬКО ВОЗВРАТ ИЗДАНИЙ),детская,bibliosvao.ru/elektronnyj-katalog/
98,Библиотека №56,детская,bibliosvao.ru/elektronnyj-katalog/
99,Библиотека №56 (ОГРАНИЧЕНИЕ РАБОТЫ В СВЯЗИ С РЕМОНТОМ: ТОЛЬКО ВОЗВРАТ ИЗДАНИЙ),взрослая,bibliosvao.ru/elektronnyj-katalog/
100,Библиотека №55,взрослая,bibliosvao.ru/elektronnyj-katalog/
101,Библиотека №54 (ОГРАНИЧЕНИЕ РАБОТЫ В СВЯЗИ С РЕМОНТОМ: ТОЛЬКО ВОЗВРАТ ИЗДАНИЙ),универсальная,
102,Библиотека №53,детская,bibliosvao.ru/elektronnyj-katalog/
103,Библиотека №53 (ОГРАНИЧЕНИЕ РАБОТЫ В СВЯЗИ С РЕМОНТОМ: ТОЛЬКО ВОЗВРАТ ИЗДАНИЙ),универсальная,bibliosvao.ru/elektronnyj-katalog/
104,Библиотека №52,универсальная,
105,Библиотека №51,универсальная,
106,Библиотека №51 (ОГРАНИЧЕНИЕ РАБОТЫ В СВЯЗИ С РЕМОНТОМ: ТОЛЬКО ВОЗВРАТ ИЗДАНИЙ),универсальная,
107,Библиотека №50,молодежная,bibliosvao.ru/elektronnyj-katalog/
108,Библиотека №5 имени М.А.Волошина,взрослая,opac.nekrasovka.ru/opacg2/?bibl
109,Библиотека №69,универсальная,opac.nekrasovka.ru/opacg2
110,Библиотека №48,универсальная,
111,Библиотека №47,детская,sao.biblio.informsystema.ru/Marc.html?locale=ru
112,Библиотека №44 имени В.Г.Короленко,взрослая,sao.biblio.informsystema.ru/Marc.html?locale=ru
113,Библиотека №42 имени А.П.Платонова,взрослая,sao.biblio.informsystema.ru/Marc.html?locale=ru
114,Библиотека №41,взрослая,sao.biblio.informsystema.ru/Marc.html?locale=ru
115,Библиотека №4 имени Е.А.Фурцевой,взрослая,opac.nekrasovka.ru/opacg2/?bibl
116,"Библиотека №39 ""Познание""",взрослая,sao.biblio.informsystema.ru/Marc.html?locale=ru
117,Библиотека №38,взрослая,sao.biblio.informsystema.ru/Marc.html?locale=ru
118,Библиотека №37,детская,
119,Библиотека №36 — Культурный центр Ф. А. Искандера,универсальная,sao.biblio.informsystema.ru/Marc.html?locale=ru
