	Тип библиотеки	Электронный каталог	Изба-читальня	Дата открытия	Размер фонда	Уверенность в фонде
0				1973	3306	1
1				1945	5787	1
2				1910		
3				1968	6184	1
4						
5				1931	7000	1
6			0		5000	1
7				1924	5779	1
8				1964		
9				1 июля 1950	556	1
10					5000	1
11				1 июля 1954	600	1
12				20 октября 1952	6500	1
13				1911	6000	1
14				1 июля 1954	5500	1
15			0	1974		
16			0			
17				1916	14000	1
18				1913	6000	1
19					1973	1
20					6117	1
21			0			
22						
23					6703	1
24				1948		
25						
26				1947	25000	1
27					23380	0
28				1936	5631	1
29					16316	1
30			0		8284	1
31				феврале 1968	34363	1
32					5434	0
33					8183	1
34				1981	27000	1
35						
36						
37					7461	1
38			0		20000	1
39					8277	1
40					12084	1
41					7484	1
42				1981	21000	1
43						
44					9227	1
45				1948	30000	1
46				1969	5500	1
47			0	мае 1936		
48				1914		
49				1986	235000	1
50				1984	12000	1
51				апреле 1980	18000	1
52				сентябре 1976	17000	1
53					4026	1
54				декабре 1973	22000	1
55				1962	20000	1
56				сентябре 1960	18000	1
57				1 июля 1967	14348	0
58				16 июля 1959	17000	1
59					19000	1
60				февраль 1950	11168	1
61					7546	1
62					4125	1
63					3011	1
64					2681	1
65					6215	1
66					6501	1
67					10203	1
68					11980	1
69					7000	0
70			0	1953	13317	1
71				1933	20000	1
72					9042	0
73					30000	1
74					26000	1
75					15000	1
76						
77					30000	1
78					17000	1
79						
80						
81				1932	5000	1
82				1953	32698	1
83					17000	1
84						
85						
86					36000	1
87						
88						
89					10388	1
90						
91				1968	6014	1
92					20287	1
93					67500	1
94				2001	13000	1
95			0			
96				1958	9088	1
97				2006	8419	1
98				1964		
99				1978	7703	1
100				октябре 1967	20000	1
101				1952	45000	1
102					32000	1
103						
104				1919		
105				1974		
106				19 май 1908	18805	1
107					76000	0
108						
109					200000	1
110					28888	0
111				18 декабря 1984		
112				1975	26000	1
113					36000	1
114			1	1940	6427	1
115				1959	4023	1
116			1	1938	12675	1
117			0		199802	1
118			1	1938	3843	1
119			1	1940	6000	1
120					4680	1
121					8363	1
122					11750	1
123						
