n_visits	prep	n_days
			
			
			
			
			
140	в	365
			
			
2 500	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
83688	None	365
			
34 000	None	365
			
			
			
			
			
			
			
			
3350	в	365
			
			
			
			
			
			
			
			
			
2000	около	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
800	None	365
			
			
450	None	365
			
			
			
			
3500	None	365
			
			
2300	в	365
			
			
			
			
			
			
			
			
			
			
			
1315	в	365
5800	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
6000	None	365
			
200	за	1
			
			
			
			
			
			
			
8075	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
706	None	30
8 996	в	365
1200	None	365
			
			
			
			
1500	в	365
			
			
			
			
			
			
17044	за	365
			
			
			
			
			
			
			
			
			
18000	None	365
29900	None	365
			
			
6 750	None	365
2799	на	365
			
			
			
			
			
			
			
			
			
12000	в	365
			
			
			
			
			
			
			
			
			
			
			
20000	в	365
			
			
			
5000	в	365
32000	None	365
			
			
			
10000	None	365
			
			
			
3,5_1000	None	365
			
			
			
			
6 086	за	365
			
			
			
			
			
			
			
			
6000	за	365
			
			
			
			
			
			
			
15506	None	365
			
			
			
			
			
			
			
			
3000	в	365
			
			
2735	в	365
			
			
13,5_1000	None	365
			
			
1800	None	365
			
			
			
			
			
			
			
			
3000	в	365
			
			
			
			
			
			
			
			
			
			
43066	за	365
			
			
			
			
			
			
			
			
			
4000	None	365
			
			
			
			
			
			
8,5_1000	None	365
			
4000	None	365
			
			
			
			
23 000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
3200	в	365
			
			
			
			
100 000	None	365
			
			
			
			
			
			
4500	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1200	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
700	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1 500	None	365
			
1500	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
40895	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
полутора_1000	в	365
трех_1000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
15000	None	365
			
			
			
			
			
500	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
6100	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
200	None	30
			
			
			
			
18000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
